token_hi,token_en
कार्यशालाएँ,workshops
प्राच्य,oriental
ब्रह्मचारियों,celibates
डुबाना,drown
नलियों,tubes
दुदली,Dudli
किक्स,kicks
फालन,Falan
न्युमेटिक,pneumatic
लक्ष्मीविलास,Laxmivilas
वाटरहाउस,Waterhouse
ख़ासियत,specialty
चूमते,kissing
सिनेरिया,Cineraria
बिछाया,laid
फिनट्राका,Fintraca
फिसलते,slipping
हरिमंदिर,Harimandir
मिकोयान,Mikoyan
बातो,talks
नई,new
गावो,Gavo
पुन,again
बर्नार्डो,Bernardo
गादी,throne
पहुँची,reached
कुरुप,Kurup
इलेक्ट्रोस्टाटिक्स,electrostatics
गर्भावस्थाओं,pregnancies
वितृष्णा,disgust
फ्लशिंग,flushing
बीस,twenty
संबंधित,related
झटके,shocks
विंध्यांचल,Vindhyachal
पेरिटोनिटिस,peritonitis
प्रयोजित,sponsored
थरमामीटर,thermometer
रोस्स,Ross
इलिनॉइस,Illinois
टा,Ta
सरकाने,shifting
अनाइट्रीकरण,denitrification
वस्त्र,clothing
स्ट्रोन्शियम,strontium
क्लीवलैंड,Cleveland
चलचित्र,cinema
डेजी,Daisy
गन्धमादन,Gandhamadan
आद्र्र,moist
आलोकित,illuminated
गॉगल्स,goggles
निपटाए,handled
खंदक,trench
भैंसें,buffaloes
प्रत्यायोजन,delegation
उपद्वीप,subcontinent
न्यूरोलॉजी,neurology
१४४१,1441
प्रतिनिधिक,representative
असफ़ल,unsuccessful
धर्मसूत्र,Dharmasutra
ज्यूसेपे,Giuseppe
बहका,distracted
वाल्मीकि,Valmiki
कपाली,Kapali
आईटीसी,ITC
आक्सीकारक,oxidant
प्रयासों,efforts
कालानी,Kalani
तिथिपत्र,calendar
स्ट्रा,straw
लोम्बार्डी,Lombardy
प्रतिरोधक,resistant
कालिंदी,Kalindi
२९७९,2979
देवी,Devi
बूढ़ों,elders
मेट्रोरेल,MetroRail
अण्डेमान,Andaman
दमण,Daman
पारिभाषित,defined
पैथोलॉजी,pathology
करवाचौथ,KarvaChauth
फ्यूजलेग,fuselage
मन्तर,mantra
पगडी,turban
भद्रकाली,Bhadrakali
डॅस्कटॉप,desktop
वोर्ल,World
गोलकर्ता,scorer
करकूक,Kirkuk
उलझन,confusion
कमर्चारियों,employees
२३,23
फेंडर,fender
चक्रबर्ती,Chakrabarti
हाउसबोट,houseboat
२०९४,2094
अंर्तगत,included
जनबल,manpower
चंद्रनाथ,Chandranath
हत्याकाण्ड,assassination
सोचती,thinks
प्रयोगस्थल,laboratory
बानी,Bani
कलमी,grafted
केशसज्जा,hairstyling
शूरवीरता,bravery
च्यू,Chu
पडता,falls
गोबिन्दपुर,Gobindpur
पठति,reads
अजमीढ़,Ajmidh
वॉयेज,voyage
नियंता,controller
गोरस,milk
जगाये,awakened
नलिकाएँ,tubes
नाकाम,failed
मराज़,Maraz
चिल्लाओ,shout
कौतल,Kautal
टॉन्सिल्लितिस,tonsillitis
खूंटी,peg
गुजरा,passed
ध्रुवदेवी,Dhruvadevi
पिंडिका,calf
मीठी,sweet
पिरिडीन,pyridine
फ्लॉयड,Floyd
महाशक्तियों,superpowers
बूंदें,drops
अनुरूपता,conformity
महामारी,pandemic
प्लास्टिबेल,Plastibell
सकूं,peace
मश्क़,bag
चैन,relief
डॉटर,daughter
कोरैया,Koraiya
कुदरत,nature
सामाग्री,material
२२७९,2279
म्यर्तले,Myrtle
फला,blossomed
बिन्दास,carefree
विषमय,uneven
इंस्ट्रुमेंटल,instrumental
घोड़ियों,mares
गुडिया,doll
ओरिजिन,origin
गलनी,melting
मरीच,Marich
बोएर,Boer
छड़,rod
ट्रोट,trot
७५वें,75th
न्यायपूर्वक,justly
गिलट,gilding
मधुलिका,Madhulika
विकासोन्मुख,developing
जीएसके,GSK
कठगुलाब,Rosewood
जखोली,Zakhuli
ज्यादा,more
इनकोडर,encoder
अग्निकांड,fire
कोर्बिन,Corbin
सूचियों,lists
रोमवासियों,Romans
अनुछेद,paragraph
निष्पत्ति,outcome
माँसाहारी,carnivorous
बुलेवार्ड,boulevard
चिथड़ा,tatter
इंस्टीच्यूट,institute
चाकू,knife
मानद,honorary
केण्ट,Kent
नायक,hero
बहुपुटीय,multisheet
आकिलखान,AkhilKhan
छींग,sneeze
इंदुमती,Indumati
कोलफील्ड,coalfield
फीबी,Phoebe
चांपानेर,Champaner
ल्युपस,Lupus
हवलदार,Havildar
लल्लू,Lallu
गियासुद्दीन,Giyasuddin
ब्युस्केमी,Buscemi
अभिसमय,convention
जमीनी,grounded
प्रयोजना,project
शुष्कता,dryness
पीरज़ादा,Pirzada
बदनीयती,malintent
गणेशशंकर,GaneshShankar
जयमंगला,Jayamangla
प्रबंधों,managements
कांति,Kanti
रॅफल्स,Raffles
नाती,grandson
निर्वासित,exiled
अनिता,Anita
कुच्ह,some
धुबरी,Dhubri
बिनेश्वर,Bineshwar
सायर्टिस,Syrtis
ख़ाका,sketch
मुर्गियों,hens
प्रेक्षागृह,auditorium
पुकार,call
लहलादपुर,Lahladpur
बङा,large
वल्लभभाई,Vallabhbhai
नखत,Nakhat
मोनिटरिंग,monitoring
श्रीनारायण,Shrinarayan
वकतव्य,statement
फिक्स,fixed
स्कूटरों,scooters
पोथिंग,Pothing
ज़ू,zoo
एटॉमिक,atomic
राजापुर,Rajapur
वाग,Vag
कुण्डों,ponds
२१५७,2157
जनहित,publicinterest
संस्थापकों,founders
दौड़ों,races
अग्निहोत्र,fireworship
पेकवार्स्की,Pekwarski
खदाने,mines
आंध्रा,Andhra
क्यूटा,Quta
कुंडलियां,horoscopes
कृष्णागिरी,Krishnagiri
हस्तलेख,handwriting
चिलमन,curtain
प्रतिद्वंद्वियों,rivals
दमयन्ती,Dayamanti
गंगवाड़ी,Gangwadi
नागरिक,citizen
रखवाला,guardian
बोसॉन,boson
मूषा,crucible
कवियत्री,poetess
जोड़ना,add
मौनवंश,silent
छींटे,splashes
एक्टर्स,actors
ब्लेड्स,blades
बोटों,boats
एपिडेमियोलॉजी,epidemiology
फेजी,fuzzy
लेदर,leather
प्रत्याशित,expected
नीडम्,Needham
कार्टोग्राफी,cartography
अनिवासी,nonresident
कराया,arranged
लेजर,laser
४४५,445
अयुर्वेद,Ayurveda
सोमरविल,Somerville
अर्कान्तोस,Arkantos
हाइकु,haiku
एंडीज़,Andes
उमाकान्त,Umakant
फ्रिट्ज,Fritz
समस्यात्मक,problematic
स्पाइडर्स,spiders
चेन्नै,Chennai
अवरोही,descending
कश्चिद्,someone
अनार्य,non-Aryan
फिरोज,Firoz
टॉक्सॉयड,toxoid
थके,tired
हमले,attacks
टोमैटोस,tomatoes
अंतर्दहन,combustion
कमलिया,Kamaliya
दवे,Dave
एष,this
नायका,Nayaka
वीस,twenty
जीत,victory
ईस्ट्रोजन,estrogen
चरखी,spinning
साम्राज्यवादियों,imperialists
हैंडसेटों,handsets
जहा,where
समन्वय,coordination
कर्ली,curly
प्रविष्टि,entry
तरलीकृत,liquefied
मैसेजिंग,messaging
दनकौर,Dankaur
शल,Shal
दासत्व,slavery
चंदेल,Chandel
मुत्तू,Muttu
शकुन्त,Shakunt
क्लास,class
ठकुरी,Thakuri
जाँचों,inspections
चड्डी,shorts
महाज्ञान,greatknowledge
चतुरानन,Chaturanan
रुद्रदमन,Rudradaman
ऑनर,honor
नंदिगाम,Nandigam
प्रेसिजन,precision
एनआईआईटी,NIIT
कॉलिंग,calling
फ़िज़िकल,physical
माइक्रोप्रोसेसर्स,microprocessors
अरान,Aran
हाजिरी,attendance
क्लेरेंस,Clarence
लिनेक्स,Linux
मीरो,Miro
कलुषित,tainted
जलाल,Jalal
गंवा,lost
सांसदों,MPs
दांई,right
रोथ्सचाइल्ड,Rothschild
अलथुसे,Althusser
नर्सों,nurses
अटैची,attache
आइलैंडर,islander
स्विफ्ट,swift
प्रैरी,prairie
अज्ञानकोशीय,ignorant
धपोला,Dhapola
उपसंघ,subunion
व्यतिक्रम,anomaly
सयानी,wise
नागौर,Nagaur
पंच्ड,punched
कराके,shivering
विसंगतियां,inconsistencies
अंतरराज्यीय,interstate
सुजीत,Sujit
असदाबाद,Asadabad
आंटलजी,Antalji
राजधानियों,capitals
परमाणुभार,atomicmass
रुद्राक्षि,Rudrakshi
सृजनपीठ,creationseat
अग्रचर्वणक,premolar
टेन्सर,tensor
ठेंगड़ी,Thengdi
गुरुता,gravity
षड्गुण,sixfold
धातुमल,slag
आत्मकथा,autobiography
अर्धशुष्क,semiarid
सदा,always
व्युत्पत्तियों,etymologies
इसबगोल,psyllium
मापदंडो,standards
वृन्द,group
साक्ष्यों,evidences
मॉनिटर,monitor
यिप्पियों,Yippies
दातागंज,Dataganj
पर्वतारोहियों,climbers
चिंचपोकली,Chinchpokli
कारागार,prison
चक्रतीर्थ,Chakratirth
एहसानात,favors
९६३,963
उपपति,deputy
धान्य,grain
पितृत्व,fatherhood
कुलिक,Kulik
बारिक,thin
वेजेज,wages
जन्मा,born
छाते,umbrellas
तहसीन,Tahseen
गयीं,went
भटक,wander
गोफन,sling
तेलंग,Telang
बार्सिलोना,Barcelona
बायोइनफॉरमैटिक्स,bioinformatics
सस्टेनेबिलिटी,sustainability
नायनमार,Nayanmar
रामेश्वरी,Rameshwari
मध्यश्लेष,interstitial
वननीति,forestpolicy
सोफ़ी,Sophie
मंगलौर,Mangalore
वृद्धजन,elderly
गुणित्र,multiplier
प्राणहिता,Pranahita
स्कैली,Scally
म्युटान्स,mutants
नोल,Noll
अज़रबैजान,Azerbaijan
बुकमार्कलेट,bookmarklet
उच्चवेग,highspeed
दुर,distant
अशुद्धियां,impurities
सावरकर,Savarkar
ड्रग्स,drugs
झाँकियाँ,tableaux
प्रवर्द्धन,promotion
इर,Ir
फेरकर,turning
सूइयों,needles
मौखिक,oral
तेंग,Teng
१९२२,1922
प्रिंसटॉन,Princeton
बौछारों,showers
चिन्तनशील,thoughtful
पर्शियन,Persian
खतौनी,landrecord
अतार्किक,illogical
शती,century
मैनर्स,manners
लेफ्टी,lefty
संयम,restraint
बावडियों,stepwells
मृतात्माओं,spirits
नरसापुर,Narasapur
नाइट्रीकरण,nitrification
धूम्रपान,smoking
इन्टरप्रेटर,interpreter
डिज़ाइनर्स,designers
ओक्लाहोमा,Oklahoma
तैराकी,swimming
पैठी,penetration
कैरोल,Carol
प्रतिक्रियाओं,reactions
मेडिया,media
खलनायकी,villainy
फ्रांज़,Franz
स्वादों,flavors
नामचीन,famous
प्रस्फुटित,bloomed
शुभा,Shubha
समत्व,equanimity
डिपोजिट,deposit
बारेन्त्स,Barents
कोणे,corner
बेदखल,evicted
प्रवाहमान,flowing
कांडला,Kandla
एडेलमैन,Edelman
उष्णकटिबंधीय,tropical
सुमेरियाई,Sumerian
मिहिरभोज,Mihirbhoj
तुरफ़ान,Turfan
बेहूदा,ridiculous
पालने,cradle
यामल,Yamal
ब्रायोफाइटा,Bryophyta
ढूँढ़ने,search
प्रकृतियों,natures
सुनिये,listen
वीसीडी,VCD
साहित्यदर्पण,Sahityadarpan
तत्कालिन,contemporary
ग्लासों,glasses
यों,thus
साँप,snake
जये,Jaye
तकनीके,techniques
तिलकरत्ने,Tilakaratne
२८८१,2881
सूतों,threads
विलकिन्स,Wilkins
गोलकोंडा,Golkonda
ऑलमाइटी,Almighty
रिकल,recall
टिस्को,TISCO
खमण,Khaman
तानों,taunts
राजपुतो,Rajputs
सब्रिदो,Sabrido
योंट,Yont
थ्रोम्बी,Thrombi
दुबला,thin
१३६२,1362
लपटों,flames
झुइरुई,Zhuirui
भविष्यवाणियां,predictions
संगीत,music
पेत्रो,Petro
प्रयोजनीय,applicable
विद्यार्थी,student
२६६३,2663
डाक्ट्रेट,doctorate
आन्दोलनकारी,revolutionary
मत्कुणगण,bedbugs
कुँवारा,bachelor
डैलस,Dallas
पिछले,previous
बताय़ा,told
मोज़े,socks
हरिसिंह,Harisingh
काशीपुर,Kashipur
बहुविकल्पी,multiple-choice
घुंघराले,curly
सिरीज़,series
डीएपी,DAP
वित्तिय,financial
बारगल,Bargal
ओस्मियम,Osmium
१६९८,1698
लुआंग,Luang
पोंटे,Ponte
आप्लावन,flood
माद्यम,medium
फ़ोटोशॉप,Photoshop
फ़ुर्सत,leisure
आसुरि,Asuri
तलकर्षण,traction
तानना,stretch
खेता,Kheta
इमैनुएल,Emanuel
तमीज़,manner
चार्टेड,chartered
कॉस्ट्यूम,costume
कासी,Kasi
पिक्सी,pixie
मोनेट,Monet
देंखें,see
फटने,burst
सौगन्ध,oath
ज्‍वर,fever
ऑफ़शोर,offshore
समाजवादियों,socialists
दुगर,Dugar
महाबन,Mahaban
एडस,AIDS
सकती,can
क्रियाशील,active
अनुगत,submissive
निस्वार्थ,selfless
क्षेपक,projectile
दस्‍तावेज,document
पातलू,Patlu
सोलहवीं,sixteenth
गै़ब,disappear
अवांछनीय,undesirable
करप्ट,corrupt
द्वारक,Dwarka
देशज,indigenous
चटाई,mat
शिनिची,Shinichi
एमटीपीए,MTPA
श्रेणी,category
स्ट्रैटजी,strategy
मत्थे,forehead
शिवांगी,Shivangi
लुमडिंग,Lumding
लटकते,hanging
बेर्थोल्ड,Berthold
उद्भट,Udbhata
धर्मपत्नी,wife
बरामदगी,recovery
२०वें,20th
मेनचेस्टर,Manchester
जूही,Juhi
वाइव्स,wives
सिराजुद्दौला,Siraj-ud-Daulah
तरीके,methods
बिल्कुल,absolutely
यशोवर्मन,Yashovarman
भाववाहक,carrier
योगानन्द,Yogananda
मूर्त,idol
राजपुताना,Rajputana
मांसाहार,non-vegetarian
अदावत,enmity
कपुलिंग,coupling
लिंगा,Linga
कुतुबनुमा,compass
तया,determined
इतर,other
नरसिम्हा,Narasimha
गैस्ट्रुलेशन,gastrulation
रोबो,Robo
माइक्रोएन्वायरमेंट,microenvironment
सांय,evening
इछावर,Ichhawar
सौरा,Saura
गणि,Gani
मुशरान,Mushran
राज,kingdom
काम्य,desirable
राजत,Rajat
राइख,Reich
मधेशी,Madeshi
पॉलिसियों,policies
चैत्र,Chaitra
भीमगढ,Bhimgarh
कुबेरपुर,Kuberpur
समीक्षाएं,reviews
सिकुड़ा,shrunk
स्टोंस,stones
वादों,promises
ओवल,oval
कीत्स,Keats
मैकलेन,Maclean
ट्रांसफाॅर्मर्स,Transformers
आचमन,ritual
बहकावे,deception
लार्टर,Larter
बिछाना,spread
चटपटा,spicy
पार्टिशन,partition
गट्ठर,bundle
करेंगें,will do
डेनी,Denny
ड्रिंकिंग,drinking
वस्तुकला,architecture
कासरकोड,Kasaragod
श्वानीय,canine
देयर,there
आशावान,hopeful
तैयारियां,preparations
लोकतंत्रों,democracies
ओडीसियस,Odysseus
बर्नबू,Burnbu
विचित्र,strange
अन्योन्य,mutual
शंकरपुर,Shankarpur
एम्प्री,EMPRI
शतद्रु,Satadru
प्रगतियों,progresses
बायलर,boiler
फीचरों,features
किलिंग,killing
प्रोत्साहक,encourager
प्राध्यापक,professor
उगलिया,Ugaliya
मानववादी,humanist
इंस्टालर,installer
विक्रमशिला,Vikramshila
सुगन्ध,fragrance
विज्ञापनों,advertisements
तापविद्युत,thermoelectric
सांद्रण,concentration
सीवा,Siwa
चकवाल,Chakwal
स्टडी,study
इंट्रामस्क्युलर,intramuscular
जबलपुर,Jabalpur
जिप्स,Gyps
जाहिरा,Zahira
सिमाली,Simali
वैलेंटिनो,Valentino
नामांकन,enrollment
एडिटर्स,editors
अभिव्यक्ति,expression
मीमांसा,interpretation
अनियमित,irregular
बग़ावत,rebellion
सलवटें,wrinkles
पीड़ादायक,painful
नमस्कार,greetings
फेंटी,whisked
सह्यता,tolerance
वेबस्टर,Webster
रॉकेटों,rockets
पीडिया,Pedia
काल्डवेल,Caldwell
म्यूट,mute
ठोढी,chin
जानेके,gone
निशुल्क,free
कव्वाली,qawwali
रँगे,colored
बोलियों,dialects
ट्रूपिंग,trooping
लिवोफ़्लॉक्सासिन,levofloxacin
किमी/घंटा,km/h
अहो,alas
अरुणाचल,Arunachal
जुडोगी,judogi
छोटानागपुर,Chotanagpur
कमेंट,comment
हेला,Hela
शाहदरा,Shahdara
परन्तु,but
मचाई,raised
पियाज़ा,piazza
पोना,Pona
बागानों,plantations
टीकाएं,vaccines
हेक्स,hex
विराजे,seated
गया,went
इथेनोएट,ethanoate
रीसस,rhesus
उदघोषक,announcer
मटकिना,Matkina
कमन,common
विस्तरित,extended
फिअर,fear
फैलनेवाला,spreading
करून,Karun
मिस्सी,Missy
बचाएं,save
डफ़ी,Duffy
इरिडियम,iridium
बैकल्युंड,Backlund
प्राची,Prachi
क्लैंस,clans
काँचों,glasses
रामायणकाल,Ramayana
कत्थक,Kathak
दुशासन,Dushasan
बकाइन,lilac
माडगूलकर,Madgulkar
मेलाटोनिन,melatonin
वेबसाइट,website
दीपू,Deepu
कक्षायें,classrooms
ननों,nuns
सेटिंग,setting
चिठ्ठी,letter
कोलंबिया,Colombia
कमलाबारी,Kamalabari
सतसइयों,Satsaiyon
कीपैड,keypad
खाल,skin
ॠतु,season
कैलीफ़ोर्निया,California
डॉनी,Donnie
रिलेशनल,relational
ज़ाफ़र,Zafar
परंपराएं,traditions
एमिनोग्लाइकोसाइड्स,aminoglycosides
अंटोनियो,Antonio
खिताबों,titles
रोयाल,Royal
३१००,3100
तेज़ुका,Tezuka
हाइड्रॉक्साइड,hydroxide
बैलिविक,Bailiwick
मुचुकुंद,Muchukunda
रचे,created
आरएच,RH
रतनजोत,Ratanjot
नंबरों,numbers
टेंगर,Tenger
स्पेक्ट्रोग्राफ,spectrograph
अधिशोषित,adsorbed
नाथपंथी,Nathpanthi
स्तिथी,position
तीबेस्ती,Tibesti
गोगो,Gogo
असामान्‍य,abnormal
हीनन,Hinan
हंपी,Hampi
अन्तर्क्रियाओं,interactions
अध्यक्ष,chairman
स्लिट,slit
इक्साइट,excite
नोखा,Nokha
लीनियस,Linnaeus
फोंडा,Fonda
लिपिकाल,Lipikal
पृथी,Prithi
द्विपार्श्वीय,bilateral
मुकुट,crown
सहायताके,assistance
बाष्प,vapor
परतन्त्र,dependent
मेका,Meka
कर्णाटक,Karnataka
जॅज़ॅरिट,Jazzarit
सबकॉम्पैक्ट,subcompact
महाकवि,greatpoet
मेलो,Melody
डर,fear
जनसम्पर्क,publicrelations
स्पर्शक,touch
नीबू,lemon
ग्रैन,Gran
साध्यता,feasibility
जननिक,genetic
देव,god
त्वचारोग,skin disease
अविकल,exact
परछाप,reflection
पशुप्रजनन,animalbreeding
अपेक्षाएं,expectations
पीएं,drink
एआईसीटीई,AICTE
आर्द्रतामापी,hygrometer
जीवाश्मीय,fossil
खोने,lose
ख़ुंजराब,Khunjerab
बिछ,spread
२८०२,2802
पीगन,Pegan
क्वार्टर्ली,Quarterly
सिमोन,Simon
जोसफ,Joseph
जल्द,soon
अंक,digit
लिकटेंस्टीन,Liechtenstein
पोस्टमॉर्टम,postmortem
पुनरावलोकन,review
विसिगोथ,Visigoth
सगठन,organization
स्ट्रेट,strait
राठौड़ो,Rathod
मुझमे,inme
सर्वोच्चता,supremacy
डाली।,branch
राजगोपालाचार्य,Rajagopalacharya
पत्नियां,wives
बनस्पति,vegetation
हिसार,Hisar
९३६,936
प्रभुदयाल,Prabhudayal
फेरने,Ferne
रस्सॅल,Rassal
समाशोधित,cleared
प्रियंका,Priyanka
लरिका,Larika
डीएलएफ,DLF
नीवारिका,Nivari
फ़िनों,Finns
क्रयविक्रय,trade
जनआन्दोलन,movement
सरलतर,simpler
प्रवर्त्तक,initiator
देवर्षि,Devarshi
अबतक,sofar
कन्धे,shoulder
ग्रिमाल्डी,Grimaldi
काते,Kate
कारियों,workers
पुरज़ोर,forcefully
अधिराट्,emperor
बरतना,handle
काईट,Kite
तपस्विओं,ascetics
कापुआ,Kapua
विच,which
साबित,prove
सकूँगा।,willdo
उपोष्णकटिबंधीय,subtropical
फैन्टास्टिक,fantastic
वाल्मीकीय,Valmiki
समुन्दर,sea
पोंछने,wipe
साल्मन,Salmon
परिपूर्णता,perfection
परेशानियाँ,troubles
संज्ञेय,perceptible
वीडियोकॉन्फ्रेंसिंग,videoconferencing
कशाभ,flagellum
अबुजा,Abuja
ब्रॉलर,Broler
नेवी,Navy
असीघाट,Asighat
बेनाम,anonymous
लैंबर्ट,Lambert
कैल्कटा,Calcutta
प्रयोगाश्रित,experimental
रामचौरा,Ramchaura
उड़ी,Udi
पुतलियां,pupils
तारपीडो,torpedo
फ़्रीटाउन,Freetown
बेदाग,spotless
हरिलाल,Harilal
सजीवों,organisms
नियन्त्रण,control
तुन्गुसी,Tungusi
बस्‍ती,settlement
सम्भाव्य,probable
बदलो,change
लागी,lag
डाई,dye
एख़्तेयार,authority
रहस्यात्मक,mysterious
वोदेन,Voden
रईसों,nobles
अतिथिगृह,guesthouse
कोऑपरेटिव,cooperative
एकेश्वरवादी,monotheistic
४२४,424
यारोबाम,Yarobam
साँचो,Sancho
रेज़िन,resin
उपनय,initiation
बॅल्ट,belt
गुप्तोत्तर,post-Gupta
कबंध,trunk
पार्थियनों,Parthians
असंबद्ध,unrelated
श्रीनिवास,Srinivas
राजाभाऊ,Rajabahu
सँवार,adorn
लकङ्ी,luck
अविरत,continuous
मथुरा,Mathura
हैंडलों,handles
ayrton,Ayrton
दासानी,Dasani
नमः॥,Namah
आईक्यू,IQ
एडिनबर्घ,Edinburgh
पुष्‍टि,confirmation
निष्पक्ष,impartial
विचारकर,considering
श्रीयंत्र,Shriyantra
कापीराईटेड,copyrighted
कप्तानों,captains
घाटो,ghats
बयां,describe
व्यापारवान्‌,trader
पीटीवी,PTV
व्हा,Vha
धर्मविशेष,religion
कनिष्क,Kanishka
कृत्वा,havingdone
लिपोप्रोटीन्स,lipoproteins
असामयिक,untimely
इंगलैंड,England
मिडफील्ड,midfield
रेकों,Rekon
व्यक्‍तियों,individuals
म्युनिक,Munich
२१६३,2163
खाईयों,trenches
तरतूस,quiver
एपिस्टासिस,epistasis
कौंगो,Congo
केन्दों,centers
परियोजनाए,projects
सामोआ,Samoa
सम्पादन,editing
२९०६,2906
प्रोपोज़िशनल,propositional
बढ,grow
ग्लोबो,globo
वर्नर,Werner
श्रिनिवास,Shrinivas
यार्दाश,Yardash
वाशिगंटन,Washington
तानिका,Tanika
मनुष्यकृत,manmade
चबाए,chew
२००००,20000
गोपालपुरा,Gopalpura
बिभूतिभूषण,Bibhutibhushan
कम्यूनियन,Communion
गजिनी,Ghajini
बुद्धिसंगत,logical
श्रीरंगपट्ट्नम,Srirangapatna
कुदास,Kudas
पोस्‍ट,post
जेंको,Zenko
माइम,mime
देशप्रेम,patriotism
प्यूरिटन,Puritan
स्टेविया,Stevia
क्रियात्मक,functional
मानकी,Manaki
एडीबी,ADB
नौण,Naun
गतिविधी,activity
माने।,mean
सरीर,body
आँगनबाड़ी,Anganwadi
ऐलेन,Ellen
कोप्पल,Koppal
उत्तमचन्द,Uttamchand
ब्रागा,Braga
सगोत्र,Sagotra
फिनाक्ल,Finacle
wikipock,wikipock
क्षत्रियों,Kshatriyas
लोकेश्वर,Lokeshwar
उदगार,expression
तोगड़िया,Togadia
गतिकीय,kinetic
अकार्बनिक,inorganic
बिद्युत,electric
शोथयुक्त,inflamed
२९३८,2938
मैथली,Maithili
पौडेल,Poudel
वहाँ,there
मलिंगा,Malinga
हर्षवर्द्धन,Harshvardhan
प्राचीनतम्,ancient
धमाके,blast
१४१८,1418
सूक्ष्मजीवों,microorganisms
गंधयुक्त,aromatic
बाडेन,Baden
ब्रेटन,Breton
ढाँचे,framework
बंधकों,mortgages
तिलैया,Tilaiya
साइरिल,Cyril
पर्बती,Parvati
हेव,Hew
धात्री,nurse
पाएंगे,find
मऊरानीपुर,Mauranipur
गार्डियोला,Guardiola
अभिरंजन,Abhiranjan
विकृतिजन्य,pathological
तटबंधों,embankments
चाँदनी,moonlight
फटीग,Fatig
किन्हें,whom
बाग़,garden
इनडिया,India
पंकजा,Pankaja
गाँठे,knots
इताअत,obedience
बरदान,blessing
ठिठक,hesitate
रसम,Rasam
बुद्धिज़्म,Buddhism
त्यौहार,festival
माल्टों,Maltons
हच,Hatch
सुगर,sugar
हेडरों,headers
यादृच्छिकता,randomness
कॉपर,copper
दाँत,tooth
बॉयज़ोन,Boyzone
ग्रामोफोन,gramophone
सिं,Singh
अमाशय,stomach
क्लेमेंस,Clemens
डैकोटा,Dakota
ऐस्टरिड,Asterid
वेंकटराम,Venkataram
एविवा,Eviva
नवाज़,Nawaz
जीने,live
माचिस,match
भेजेगा।,send
सर्वांगी,comprehensive
गिनी,Guinea
फ़तह,victory
सोनपुर,Sonpur
होयसला,Hoysala
मीठड़ी,Meethadi
रसिदपुर,Rasidpur
रूकती,stop
जन्माष्टमी,Janmashtami
काबिल,capable
पतनी,Patni
ताता,Tata
नीछे,Niche
विजेन्द्र,Vijendra
कणांतरिक,intracellular
दोस्त,friend
बेहतर।,better
जागत,Jagat
बहुतायत,abundance
मॉर्फिग,morphing
दुर्बलताओं,weaknesses
गाइड्स,guides
आदरभाव,respect
चौमुख,four-faced
पौषक,nutritive
नेअमतों,Neamaton
साइटोकाइन,cytokine
शूटिंग,shooting
वेब्ब,Webb
हैप्पीनेस,happiness
छात्र/छात्राओं,students
बीबर,Beaver
पाईप,pipe
पाबंद,restricted
श्रीकृष्णकीर्तन,Shrikrishnakirtan
लारमय,salivary
तों,Ton
ये,were
१४६२,1462
कहानीसंग्रह,story-collection
इजिप्ट,Egypt
पजहस्सी,Pajhassi
अनार्थिक,uneconomical
कीमी,Kimi
कारेज़,carriage
श्रावस्ति,Shravasti
विजडन,Wisden
बकरे,goats
इलैक्ट्रॉनिकी,electronics
ट्रस्टीशिप,trusteeship
चित्रमाला,album
पुलिस,police
गंध,smell
नोचकर,plucking
डिम्बग्रंथि,ovary
आईकैलेंडर,iCalendar
भभुआ,Bhabua
२८७६,2876
एकाडेमी,academy
बुक्सा,Buxa
महाश्वेता,Mahashweta
संस्थायें,institutions
बन्यन,banyan
बटाटा,potato
जयन्ती,anniversary
पुरोहिती,priesthood
थली,plate
जमक,glow
पश्चाताप,repentance
ख़ज़ाना,treasure
ऋग,Rig
भुजाओं,arms
खुबानी,apricot
रेंडरिंग,rendering
जड़ानवाला,rooted
अलवा,except
दीघा,Digha
कालिय,Kaliya
इंकार,denial
जलचक्र,watercycle
वेरिएबल्स,variables
स्लीपी,sleepy
स्वरग्रंथि,larynx
फैनी,Feni
उलाहना,rebuke
देहू,Dehu
घटनापूर्ण,eventful
स्नान,bath
आशोधित,refined
यूटीआई,UTI
प्रपौत्री,greatgranddaughter
विदुप,Vidup
सांगानेर,Sanganer
ईष्र्या,envy
कविसम्मेलनों,poetrymeets
वापिस,return
संस्थानिक,institutional
रजिस्ट्रार,registrar
गेघारकुनिक,Ghegharkunik
लेखापरीक्षण,audit
फोलोविल,Folovil
जन्तु,animal
विरुदों,anthems
सेलांगोर,Selangor
गगारिन,Gagarin
रचनांतर,transcreation
पीपलाज,Peepalaj
अज़ेरी,Azeri
आरख़ान्गेल्स्क,Arkhangelsk
रवाना,departed
गुनियालेख,Guniyalekh
थायरायड,thyroid
सिस्टमेटिक,systematic
१५९८,1598
घपला,scam
लोरिंग,Loring
पापड़,papad
अम्बेडकर,Ambedkar
अंगच्छेदन,amputation
सूत्रित,formulated
पश्चमी,western
तारांकित,starred
हथुवा,Hathua
कस्टडी,custody
एवान,Ewan
जिद्दी,stubborn
शिरस्त्राण,helmet
सूचनाएँ,information
ज्योतिष्पिंडों,celestialbodies
दर्शील,Darsheel
नस्य,nasal
बैगेज,baggage
यन्त्रों,machines
असममिति,asymmetry
मधुकरशाह,Madhukarshah
दावेदारों,claimants
मृदुकाष्ठ,softwood
आक्रमण,attack
एकसा,uniform
चौपड़,boardgame
